City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alugan,12.2188,125.4808,78.51,85,21,14.92,PH,1676057436
1,goderich,43.7501,-81.7165,34.12,64,100,12.66,CA,1676057436
2,barrow,71.2906,-156.7887,-7.58,77,100,11.5,US,1676057437
3,zonguldak,41.25,31.8333,28.99,91,100,1.52,TR,1676057438
4,businga,3.3333,20.8833,77.32,29,7,0.81,CD,1676057438
5,busselton,-33.65,115.3333,57.06,77,0,9.13,AU,1676057439
6,mataura,-46.1927,168.8643,53.47,70,18,2.1,NZ,1676057439
7,mildura,-34.2,142.15,60.08,81,0,7.9,AU,1676057440
8,tasiilaq,65.6145,-37.6368,23.16,94,100,7.29,GL,1676057441
9,souillac,-20.5167,57.5167,80.98,69,40,9.22,MU,1676057441
10,rikitea,-23.1203,-134.9692,79.61,73,4,19.33,PF,1676057442
11,puerto ayora,-0.7393,-90.3518,84.16,85,89,8.01,EC,1676057442
12,faanui,-16.4833,-151.75,81.32,73,28,12.55,PF,1676057443
13,cherskiy,68.75,161.3,-38.13,98,100,5.26,RU,1676057444
14,yellowknife,62.456,-114.3525,-6.45,84,100,4.61,CA,1676057445
15,orsha,54.5153,30.4053,26.89,88,9,14.32,BY,1676057251
16,chuy,-33.6971,-53.4616,84.56,51,0,13.8,UY,1676057446
17,kavieng,-2.5744,150.7967,79.0,83,100,7.83,PG,1676057446
18,flinders,-34.5833,150.8552,64.26,92,38,4.0,AU,1676057447
19,cape town,-33.9258,18.4232,80.38,55,0,13.8,ZA,1676057379
20,punta arenas,-53.15,-70.9167,62.71,39,40,21.85,CL,1676057436
21,kahului,20.8947,-156.47,75.85,77,40,13.8,US,1676057448
22,urucuca,-14.5931,-39.2844,85.01,51,13,7.7,BR,1676057357
23,krasnoselkup,65.7,82.4667,12.96,93,100,22.17,RU,1676057448
24,new norfolk,-42.7826,147.0587,62.1,71,42,0.49,AU,1676057449
25,lakes entrance,-37.8811,147.981,61.16,80,0,5.53,AU,1676057450
26,ushuaia,-54.8,-68.3,58.66,51,75,12.66,AR,1676057450
27,geraldton,-28.7667,114.6,66.61,77,40,13.8,AU,1676057183
28,hermanus,-34.4187,19.2345,71.8,68,0,10.0,ZA,1676057451
29,vila velha,-20.3297,-40.2925,85.95,71,20,18.41,BR,1676057452
30,arraial do cabo,-22.9661,-42.0278,85.96,61,0,17.27,BR,1676057273
31,port elizabeth,-33.918,25.5701,70.11,83,0,4.61,ZA,1676057351
32,hilo,19.7297,-155.09,71.94,88,75,4.0,US,1676057321
33,hobart,-42.8794,147.3294,62.46,92,75,5.75,AU,1676057453
34,fortuna,40.5982,-124.1573,47.66,91,75,0.0,US,1676057453
35,miri,4.4148,114.0089,75.34,100,40,1.14,MY,1676057454
36,ahipara,-35.1667,173.1667,64.98,83,100,9.82,NZ,1676057455
37,kirovskiy,45.0917,133.5136,15.42,98,100,1.97,RU,1676057455
38,aginskoye,51.1,114.53,-5.48,100,84,4.41,RU,1676057456
39,faya,18.3851,42.4509,57.31,67,11,3.44,SA,1676057456
40,east london,-33.0153,27.9116,71.74,82,100,8.1,ZA,1676057457
41,albany,42.6001,-73.9662,48.06,65,97,3.0,US,1676057233
42,roma,43.2128,-75.4557,39.96,79,100,16.11,US,1676057403
43,nouakchott,18.0858,-15.9785,75.13,71,81,9.93,MR,1676057273
44,matiguas,12.8373,-85.4622,87.84,38,39,14.45,NI,1676057458
45,bridgewater,44.3835,-64.5155,48.11,96,100,17.27,CA,1676057458
46,san andres,12.5847,-81.7006,86.02,62,20,17.27,CO,1676057230
47,pevek,69.7008,170.3133,-26.16,95,100,6.31,RU,1676057459
48,tuktoyaktuk,69.4541,-133.0374,-20.2,76,75,12.66,CA,1676057459
49,longkou,37.6508,120.3286,34.9,85,100,7.29,CN,1676057460
50,oranjemund,-28.55,16.4333,65.62,94,11,2.77,NA,1676057461
51,chapais,49.7834,-74.8492,13.78,89,100,8.97,CA,1676057461
52,bluff,-46.6,168.3333,53.8,80,54,6.46,NZ,1676057462
53,mgandu,-5.95,34.1333,62.06,97,100,3.33,TZ,1676057463
54,butaritari,3.0707,172.7902,80.98,80,100,21.03,KI,1676057463
55,narsaq,60.9167,-46.05,21.42,93,87,3.67,GL,1676057464
56,upernavik,72.7868,-56.1549,-16.73,93,100,9.35,GL,1676057465
57,veraval,20.9,70.3667,70.39,80,0,9.62,IN,1676057466
58,banswara,23.55,74.45,68.23,31,0,2.42,IN,1676057467
59,tatawin,32.9297,10.4518,47.79,85,100,23.94,TN,1676057467
60,nikolskoye,59.7035,30.7861,31.89,77,100,16.8,RU,1676057468
61,kitimat,54.0524,-128.6534,34.18,32,89,2.51,CA,1676057423
62,aklavik,68.2191,-135.0107,-13.0,77,100,6.91,CA,1676057469
63,bredasdorp,-34.5322,20.0403,69.94,77,0,13.27,ZA,1676057470
64,sistranda,63.7256,8.834,31.96,96,100,9.8,NO,1676057471
65,khatanga,71.9667,102.5,-33.47,93,13,9.26,RU,1676057471
66,siniscola,40.5719,9.6922,36.95,70,0,6.89,IT,1676057472
67,kushima,31.4583,131.2333,48.96,82,96,3.38,JP,1676057473
68,vaini,-21.2,-175.2,75.36,94,100,5.75,TO,1676057474
69,kapaa,22.0752,-159.319,75.52,83,100,16.11,US,1676057474
70,maragogi,-9.0122,-35.2225,81.43,69,99,9.35,BR,1676057475
71,hasaki,35.7333,140.8333,37.8,69,100,25.26,JP,1676057476
72,shetpe,44.1667,52.1167,22.91,74,21,1.5,KZ,1676057477
73,ouro fino,-22.2831,-46.3692,73.87,86,95,2.77,BR,1676057477
74,garhi khairo,28.0606,67.9803,63.36,20,7,8.7,PK,1676057478
75,wanaka,-44.7,169.15,55.11,70,85,1.99,NZ,1676057479
76,port alfred,-33.5906,26.891,71.19,89,95,10.96,ZA,1676057480
77,nanortalik,60.1432,-45.2371,20.73,69,100,20.54,GL,1676057480
78,aktau,43.65,51.2,21.78,52,2,2.37,KZ,1676057481
79,jamestown,42.097,-79.2353,36.01,92,100,14.97,US,1676057447
80,tiksi,71.6872,128.8694,-32.17,98,99,4.18,RU,1676057482
81,bambous virieux,-20.3428,57.7575,80.85,69,40,9.22,MU,1676057483
82,santa marta,11.2408,-74.199,91.45,55,20,14.97,CO,1676057199
83,mecca,21.4267,39.8261,75.38,52,0,1.79,SA,1676057484
84,nantucket,41.2835,-70.0995,60.94,58,0,20.71,US,1676057485
85,saskylakh,71.9167,114.0833,-45.22,98,54,7.38,RU,1676057486
86,grasse,43.6667,6.9167,38.79,74,0,3.44,FR,1676057486
87,chesma,53.8111,60.6533,5.59,95,34,6.46,RU,1676057487
88,iqaluit,63.7506,-68.5145,-27.31,67,20,12.66,CA,1676057250
89,bantou,26.2151,117.4893,60.06,99,91,1.01,CN,1676057488
90,blackfoot,43.1905,-112.345,30.06,74,12,5.48,US,1676057473
91,qaanaaq,77.484,-69.3632,-15.59,53,4,2.35,GL,1676057489
92,severo-kurilsk,50.6789,156.125,22.19,76,100,31.21,RU,1676057490
93,portobelo,9.55,-79.65,83.1,82,41,14.43,PA,1676057491
94,nuuk,64.1835,-51.7216,7.41,66,100,11.5,GL,1676057491
95,cabedelo,-6.9811,-34.8339,86.67,71,90,13.53,BR,1676057492
96,ponta delgada,37.7333,-25.6667,59.72,77,20,12.66,PT,1676057493
97,hithadhoo,-0.6,73.0833,81.0,75,68,12.82,MV,1676057493
98,pitangueiras,-21.0094,-48.2217,86.52,73,100,3.27,BR,1676057263
99,mirnyy,62.5353,113.9611,-32.28,100,95,1.59,RU,1676057495
100,puro,12.4841,123.3827,76.41,88,15,7.09,PH,1676057495
101,biak,-0.9131,122.8766,75.94,78,100,3.58,ID,1676057496
102,vila franca do campo,37.7167,-25.4333,59.41,83,30,7.99,PT,1676057497
103,atuona,-9.8,-139.0333,78.82,77,6,16.78,PF,1676057498
104,cody,44.5263,-109.0565,49.64,42,0,9.22,US,1676057498
105,bertoua,4.5833,13.6833,77.07,19,58,0.31,CM,1676057499
106,norman wells,65.282,-126.8329,-3.96,71,100,5.75,CA,1676057500
107,nara,34.6851,135.8049,45.5,78,95,6.85,JP,1676057246
108,alekseyevsk,57.8406,108.3492,2.23,98,100,3.06,RU,1676057501
109,saint-augustin,51.226,-58.6502,11.32,72,100,5.17,CA,1676057501
110,kismayo,-0.3582,42.5454,77.23,85,63,14.9,SO,1676057502
111,namibe,-15.1961,12.1522,71.62,78,85,5.77,AO,1676057502
112,san patricio,28.017,-97.5169,66.15,45,11,21.63,US,1676057503
113,sovetskiy,61.3614,63.5842,13.1,97,77,6.69,RU,1676057503
114,platanos,37.6667,21.6167,38.05,76,88,7.18,GR,1676057504
115,ushtobe,45.2514,77.9838,14.16,92,100,5.39,KZ,1676057504
116,codrington,-38.2667,141.9667,56.41,97,3,8.55,AU,1676057505
